,Chemical,CAS,Cell.type,FBS,Well,Q_cells,Q_media_free,Q_media,F_free_media
1,"2,4-Dinitrophenol",51-28-5,Rat cerebellar granule cell,2,96,3.79E-06,1.43E-04,1.46E-04,0.976389898
2,Aldrin,309-00-2,Rat cerebellar granule cell,2,96,1.21E-04,5.40E-07,2.88E-05,0.018745173
3,Azinphos-methyl,86-50-0,Rat cerebellar granule cell,2,96,1.33E-04,2.04E-10,1.69E-05,1.21179E-05
4,Chlorpyrifos,2921-88-2,Rat cerebellar granule cell,2,96,1.04E-04,1.61E-05,4.56E-05,0.353354931
5,"DDD-p,p'",50-29-3,Rat cerebellar granule cell,2,96,1.22E-04,3.40E-08,2.78E-05,0.001225605
6,"DDT-o,p'",789-02-6,Rat cerebellar granule cell,2,96,1.19E-04,1.07E-07,3.12E-05,0.003418191
7,"DDT-p,p'",72-54-8,Rat cerebellar granule cell,2,96,1.21E-04,1.00E-07,2.88E-05,0.003470824
8,Diazinon,333-41-5,Rat cerebellar granule cell,2,96,4.62E-05,7.87E-05,1.04E-04,0.757909574
9,Dicofol,115-32-2,Rat cerebellar granule cell,2,96,1.33E-04,7.32E-11,1.68E-05,4.36561E-06
10,Dieldrin,60-57-1,Rat cerebellar granule cell,2,96,1.17E-04,2.76E-06,3.32E-05,0.0830581
11,Disulfoton,298-04-4,Rat cerebellar granule cell,2,96,6.89E-05,5.52E-05,8.11E-05,0.680904958
12,Endosulfan I,115-29-7,Rat cerebellar granule cell,2,96,4.78E-09,1.50E-04,1.50E-04,0.999520681
13,Endrin,72-20-8,Rat cerebellar granule cell,2,96,7.18E-05,3.83E-05,7.82E-05,0.48983608
14,Ethion,563-12-2,Rat cerebellar granule cell,2,96,7.35E-05,3.36E-05,7.65E-05,0.438672621
15,Heptachlor,76-44-8,Rat cerebellar granule cell,2,96,1.24E-04,8.69E-07,2.62E-05,0.033122055
16,Heptachlor epoxide B,1024-57-3,Rat cerebellar granule cell,2,96,1.18E-04,1.78E-06,3.16E-05,0.056219672
17,Lindane,58-89-9,Rat cerebellar granule cell,2,96,6.58E-05,5.98E-05,8.42E-05,0.710174209
18,"Methoxychlor-o,p'",72-43-5,Rat cerebellar granule cell,2,96,1.10E-04,1.81E-06,4.01E-05,0.045133402
19,Parathion,56-38-2,Rat cerebellar granule cell,2,96,5.97E-05,6.73E-05,9.03E-05,0.745240963
20,Trifluralin,1582-09-8,Rat cerebellar granule cell,2,96,8.08E-05,1.34E-05,6.92E-05,0.193495379
21,Eugenol F,97-53-0,Rat cerebellar granule cell,2,96,9.85E-06,1.32E-04,1.40E-04,0.944598641
22,Methyl-antranilate,134-20-3,Rat cerebellar granule cell,2,96,3.40E-06,1.44E-04,1.47E-04,0.983510579
23,Lilyfore,285977-85-7,Rat cerebellar granule cell,2,96,,,,
24,Damascone beta,23726-91-2,Rat cerebellar granule cell,2,96,,,,
25,Veloutone,14595-54-1,Rat cerebellar granule cell,2,96,,,,
26,Verdox,82356-51-2,Rat cerebellar granule cell,2,96,,,,
27,Nirvanol,1506-02-1,Rat cerebellar granule cell,2,96,,,,
28,Cetalox,3738-00-9,Rat cerebellar granule cell,2,96,,,,
29,Tonalide,21145-77-7,Rat cerebellar granule cell,2,96,,,,
30,Caffeine,58-08-2,Rat cerebellar granule cell,2,96,6.18E-08,1.50E-04,1.50E-04,0.999396318
31,Lamotrigine,84057-84-1,Rat cerebellar granule cell,2,96,1.58E-05,1.23E-04,1.34E-04,0.919273232
32,Diclofenac,15307-79-6,Rat cerebellar granule cell,2,96,,,,
33,"2,4-Dichlorophenoxyacetic",94-75-7,Rat cerebellar granule cell,2,96,1.48E-05,1.20E-04,1.35E-04,0.889064486
34,(S)-Naproxen,22204-53-1,Rat cerebellar granule cell,2,96,6.08E-05,4.35E-05,8.92E-05,0.488036053
35,Ibuprofen,15687-27-1,Rat cerebellar granule cell,2,96,5.45E-05,6.42E-05,9.55E-05,0.672310287
36,Torasemide,56211-40-6,Rat cerebellar granule cell,2,96,4.96E-05,7.04E-05,1.00E-04,0.700802157
37,Warfarin,81-81-2,Rat cerebellar granule cell,2,96,1.56E-05,1.25E-04,1.34E-04,0.932942073
38,di-n-butylphthalate,84-74-2,Rat cerebellar granule cell,2,96,9.05E-05,2.11E-05,5.95E-05,0.354330737
39,hexachlorophene,70-30-4,Rat cerebellar granule cell,2,96,,,,
40,hexamethylenetetramine,100-97-0,Rat cerebellar granule cell,2,96,,,,
41,Malathion,121-75-5,Rat cerebellar granule cell,2,96,1.23E-05,1.23E-04,1.38E-04,0.895410824
42,pentachlorophenol,87-86-5,Rat cerebellar granule cell,2,96,1.07E-04,2.74E-06,4.32E-05,0.063361803
43,"2,2,2-trichloroethanol",115-20-8,Rat cerebellar granule cell,2,96,1.57E-06,1.46E-04,1.48E-04,0.984344932
44,diethylphthalate,84-66-2,Rat cerebellar granule cell,2,96,1.28E-05,1.28E-04,1.37E-04,0.935804512
45,4-chlorophenol,106-48-9,Rat cerebellar granule cell,2,96,1.33E-05,1.23E-04,1.37E-04,0.901014896
46,permethrin,52645-53-1,Rat cerebellar granule cell,2,96,1.28E-04,3.31E-08,2.24E-05,0.00147847
47,Aniline,62-53-3,Rat cerebellar granule cell,2,96,1.22E-06,1.47E-04,1.49E-04,0.990416248
48,4-fluoroaniline,371-40-4,Rat cerebellar granule cell,2,96,1.16E-06,1.47E-04,1.49E-04,0.989867198
49,"2,4,6-trichlorophenol",88-06-2,Rat cerebellar granule cell,2,96,7.77E-05,3.18E-05,7.23E-05,0.440057537
50,Allyl alcohol,107-18-6,Rat cerebellar granule cell,2,96,7.82E-08,1.50E-04,1.50E-04,0.99899872
51,N-methylaniline,100-61-8,Rat cerebellar granule cell,2,96,3.77E-06,1.43E-04,1.46E-04,0.977589057
52,"3,4-dichloroaniline",95-76-1,Rat cerebellar granule cell,2,96,2.99E-05,9.83E-05,1.20E-04,0.818491891
53,4-decylaniline,37529-30-9,Rat cerebellar granule cell,2,96,1.18E-04,3.32E-07,3.19E-05,0.010419834
54,naphthalene,91-20-3,Rat cerebellar granule cell,2,96,5.17E-05,7.33E-05,9.83E-05,0.74560973
55,"1,2,4-trichlorobenzene",120-82-1,Rat cerebellar granule cell,2,96,9.74E-05,1.78E-05,5.26E-05,0.337853814
56,"1,2-dichlorobenzene",95-50-1,Rat cerebellar granule cell,2,96,6.39E-05,5.71E-05,8.61E-05,0.662854229
57,dichloromethane,75-09-2,Rat cerebellar granule cell,2,96,2.11E-06,1.46E-04,1.48E-04,0.985811083
58,tetrachloroethylene,127-18-4,Rat cerebellar granule cell,2,96,5.19E-05,7.46E-05,9.81E-05,0.759754206
59,"2,3-dimethyl-1,3-butadiene",513-81-5,Rat cerebellar granule cell,2,96,1.66E-05,1.23E-04,1.33E-04,0.923148558
60,cyclosporine A,59865-13-3,Rat cerebellar granule cell,2,96,,,,
61,chlorpromazine,50-53-3,Rat cerebellar granule cell,2,96,1.20E-04,2.08E-06,3.03E-05,0.068511482
62,PBDE 47,5436-43-1,Rat cerebellar granule cell,2,96,1.26E-04,7.13E-08,2.37E-05,0.003004713
63,PBDE 99,60348-60-9,Rat cerebellar granule cell,2,96,1.28E-04,2.97E-08,2.19E-05,0.001357049
64,PBDE 153,68631-49-2,Rat cerebellar granule cell,2,96,1.30E-04,1.10E-08,2.05E-05,0.000539426
65,amiodarone,1951-25-3,Rat cerebellar granule cell,2,96,1.32E-04,6.00E-10,1.85E-05,3.24913E-05
66,PFBS,375-73-5,Rat cerebellar granule cell,2,96,7.86E-06,1.32E-04,1.42E-04,0.927820258
67,4:2 FTS,757124-72-4,Rat cerebellar granule cell,2,96,,,,
68,PFNA,375-95-1,Rat cerebellar granule cell,2,96,,,,
69,PFHxA,307-24-4,Rat cerebellar granule cell,2,96,,,,
70,PFBA,375-22-4,Rat cerebellar granule cell,2,96,,,,
71,PFOA,335-67-1,Rat cerebellar granule cell,2,96,,,,
72,6:2 FTS,27619-97-2,Rat cerebellar granule cell,2,96,,,,
73,8:2 FTS,39108-34-4,Rat cerebellar granule cell,2,96,,,,
74,PFUnDA,2058-94-8,Rat cerebellar granule cell,2,96,,,,
75,PFOS,1763-23-1,Rat cerebellar granule cell,2,96,,,,
76,PFHpA,375-85-9,Rat cerebellar granule cell,2,96,,,,
77,PFPeA,2706-90-3,Rat cerebellar granule cell,2,96,,,,
78,PFHxS,355-46-4,Rat cerebellar granule cell,2,96,,,,
79,PFDA,335-76-2,Rat cerebellar granule cell,2,96,,,,
80,Azathioprine,446-86-6,Rat cerebellar granule cell,2,96,5.83E-07,1.49E-04,1.49E-04,0.995016542
81,Benzocaine,94-09-7,Rat cerebellar granule cell,2,96,5.56E-06,1.39E-04,1.44E-04,0.964611039
82,Butylated hydroxyanisole,25013-16-5,Rat cerebellar granule cell,2,96,,,,
83,Cetirizine dihydrochloride,83881-52-1,Rat cerebellar granule cell,2,96,,,,
84,Cyclamate,139-05-9,Rat cerebellar granule cell,2,96,,,,
85,Cyclophosphamide,6055-19-2,Rat cerebellar granule cell,2,96,,,,
86,Cypermethrin,67375-30-8,Rat cerebellar granule cell,2,96,,,,
87,DEET,134-62-3,Rat cerebellar granule cell,2,96,4.40E-06,0.000142101,0.000145605,0.975935279
88,Dexamethasone,50-02-2,Rat cerebellar granule cell,2,96,2.59E-06,1.41E-04,1.47E-04,0.953442665
89,Digoxin,20830-75-5,Rat cerebellar granule cell,2,96,7.33E-08,0.000149648,0.000149927,0.998138575
90,Fenazaquin,120928-09-8,Rat cerebellar granule cell,2,96,,,,
91,Fenbuconazole,114369-43-6,Rat cerebellar granule cell,2,96,,,,
92,Fluazinam,79622-59-6,Rat cerebellar granule cell,2,96,9.70E-05,1.43575E-05,5.29526E-05,0.271137719
93,Furosemide,54-31-9,Rat cerebellar granule cell,2,96,7.40E-06,0.000135018,0.000142603,0.946805648
94,Glybenclamide,10238-21-8,Rat cerebellar granule cell,2,96,9.12E-05,5.45184E-06,5.87509E-05,0.092795898
95,HC Red 3,2871-01-4,Rat cerebellar granule cell,2,96,,,,
96,Hydralazine hydrochloride,304-20-1,Rat cerebellar granule cell,2,96,,,,
97,Ketoconazole,65277-42-1,Rat cerebellar granule cell,2,96,6.04E-05,6.49E-05,8.96E-05,0.72437415
98,Metformin,1115-70-4,Rat cerebellar granule cell,2,96,,,,
99,Metoclopramide,364-62-5,Rat cerebellar granule cell,2,96,1.71E-05,1.19E-04,1.33E-04,0.892199663
100,Nitrofurantoin,67-20-9,Rat cerebellar granule cell,2,96,6.10E-08,0.000149843,0.000149939,0.999356354
101,Oxytetracycline hydrochloride,2058-46-0,Rat cerebellar granule cell,2,96,,,,
102,Panthenol,16485-10-2 ,Rat cerebellar granule cell,2,96,,,,
103,Paracetamol,103-90-2,Rat cerebellar granule cell,2,96,3.11E-07,0.000148887,0.000149689,0.994641318
104,Topiramate,97240-79-4,Rat cerebellar granule cell,2,96,3.00E-08,0.000149912,0.00014997,0.999616188
105,Trimellitic anhydride,552-30-7,Rat cerebellar granule cell,2,96,,,,
106,Verapamil hydrochloride,152-11-4,Rat cerebellar granule cell,2,96,,,,
107,Warfarin,129-06-6,Rat cerebellar granule cell,2,96,,,,
108,"2,4-Dinitrophenol",51-28-5,Balbc_3T3,2,96,1.05E-06,1.45E-04,1.49E-04,0.976389898
109,Aldrin,309-00-2,Balbc_3T3,2,96,5.98E-05,1.69E-06,9.02E-05,0.018745173
110,Azinphos-methyl,86-50-0,Balbc_3T3,2,96,7.90E-05,8.61E-10,7.10E-05,1.21179E-05
111,Chlorpyrifos,2921-88-2,Balbc_3T3,2,96,4.12E-05,3.84E-05,1.09E-04,0.353354931
112,"DDD-p,p'",50-29-3,Balbc_3T3,2,96,6.12E-05,1.09E-07,8.88E-05,0.001225605
113,"DDT-o,p'",789-02-6,Balbc_3T3,2,96,5.72E-05,3.17E-07,9.28E-05,0.003418191
114,"DDT-p,p'",72-54-8,Balbc_3T3,2,96,5.99E-05,3.13E-07,9.01E-05,0.003470824
115,Diazinon,333-41-5,Balbc_3T3,2,96,1.26E-05,1.04E-04,1.37E-04,0.757909574
116,Dicofol,115-32-2,Balbc_3T3,2,96,7.92E-05,3.09E-10,7.08E-05,4.36561E-06
117,Dieldrin,60-57-1,Balbc_3T3,2,96,5.44E-05,7.94E-06,9.56E-05,0.0830581
118,Disulfoton,298-04-4,Balbc_3T3,2,96,1.99E-05,8.86E-05,1.30E-04,0.680904958
119,Endosulfan I,115-29-7,Balbc_3T3,2,96,4.14E-08,1.50E-04,1.50E-04,0.999520681
120,Endrin,72-20-8,Balbc_3T3,2,96,2.41E-05,6.17E-05,1.26E-04,0.48983608
121,Ethion,563-12-2,Balbc_3T3,2,96,2.55E-05,5.46E-05,1.25E-04,0.438672621
122,Heptachlor,76-44-8,Balbc_3T3,2,96,6.29E-05,2.88E-06,8.71E-05,0.033122055
