,Chemical,CAS,Cell.type,FBS,Well,Q_cells,Q_media_free,Q_media,F_free_media
21,Eugenol F,97-53-0,Rat cerebellar granule cell,2,96,1.01E-05,1.13E-04,1.16E-04,0.974200527
22,Methyl-antranilate,134-20-3,Rat cerebellar granule cell,2,96,4.62E-06,1.28E-04,1.29E-04,0.99019704
23,Lilyfore,285977-85-7,Rat cerebellar granule cell,2,96,4.48E-05,5.14E-05,6.65E-05,0.77326174
24,Damascone beta,23726-91-2,Rat cerebellar granule cell,2,96,8.22E-05,8.09E-06,3.99E-05,0.202935234
25,Veloutone,14595-54-1,Rat cerebellar granule cell,2,96,1.16E-04,1.12E-06,2.22E-05,0.050571755
26,Verdox,82356-51-2,Rat cerebellar granule cell,2,96,1.35E-04,8.48E-08,1.06E-05,0.00796788
27,Nirvanol,1506-02-1,Rat cerebellar granule cell,2,96,1.25E-04,4.56E-07,1.60E-05,0.028437992
28,Cetalox,3738-00-9,Rat cerebellar granule cell,2,96,1.15E-04,8.45E-07,1.95E-05,0.043327129
29,Tonalide,21145-77-7,Rat cerebellar granule cell,2,96,1.25E-04,4.56E-07,1.60E-05,0.028437992
30,Caffeine,58-08-2,Rat cerebellar granule cell,2,96,5.70E-08,1.48E-04,1.48E-04,1.000304038
31,Lamotrigine,84057-84-1,Rat cerebellar granule cell,2,96,1.75E-05,9.69E-05,1.02E-04,0.947481012
32,Diclofenac,15307-79-6,Rat cerebellar granule cell,2,96,2.97E-08,1.50E-04,1.50E-04,0.999969329
33,"2,4-Dichlorophenoxyacetic",94-75-7,Rat cerebellar granule cell,2,96,3.60E-06,1.35E-04,1.46E-04,0.924333076
34,(S)-Naproxen,22204-53-1,Rat cerebellar granule cell,2,96,7.49E-06,1.18E-04,1.42E-04,0.828427689
35,Ibuprofen,15687-27-1,Rat cerebellar granule cell,2,96,1.69E-05,7.30E-05,1.33E-04,0.549262767
36,Torasemide,56211-40-6,Rat cerebellar granule cell,2,96,2.32E-05,8.52E-05,1.15E-04,0.743698713
37,Warfarin,81-81-2,Rat cerebellar granule cell,2,96,2.94E-06,1.38E-04,1.47E-04,0.941505608
38,di-n-butylphthalate,84-74-2,Rat cerebellar granule cell,2,96,9.10E-05,4.23E-06,4.00E-05,0.105854763
39,hexachlorophene,70-30-4,Rat cerebellar granule cell,2,96,1.42E-04,7.88E-08,7.77E-06,0.010156585
40,hexamethylenetetramine,100-97-0,Rat cerebellar granule cell,2,96,4.05E-09,1.40E-04,1.40E-04,1.000385412
41,Malathion,121-75-5,Rat cerebellar granule cell,2,96,1.21E-05,1.08E-04,1.12E-04,0.967913055
42,pentachlorophenol,87-86-5,Rat cerebellar granule cell,2,96,4.96E-05,8.22E-06,1.00E-04,0.08201945
43,"2,2,2-trichloroethanol",115-20-8,Rat cerebellar granule cell,2,96,1.58E-06,1.28E-04,1.28E-04,0.997078122
44,diethylphthalate,84-66-2,Rat cerebellar granule cell,2,96,1.40E-05,1.04E-04,1.08E-04,0.961116816
45,4-chlorophenol,106-48-9,Rat cerebellar granule cell,2,96,1.27E-05,1.07E-04,1.10E-04,0.965509205
46,permethrin,52645-53-1,Rat cerebellar granule cell,2,96,1.36E-04,7.58E-08,1.05E-05,0.007245657
47,Aniline,62-53-3,Rat cerebellar granule cell,2,96,5.23E-07,1.43E-04,1.43E-04,0.999464278
48,4-fluoroaniline,371-40-4,Rat cerebellar granule cell,2,96,9.14E-07,1.39E-04,1.39E-04,0.998681172
49,"2,4,6-trichlorophenol",88-06-2,Rat cerebellar granule cell,2,96,6.45E-05,2.58E-05,4.88E-05,0.528719239
50,Allyl alcohol,107-18-6,Rat cerebellar granule cell,2,96,9.37E-08,1.40E-04,1.40E-04,1.000235302
51,N-methylaniline,100-61-8,Rat cerebellar granule cell,2,96,2.71E-06,1.25E-04,1.26E-04,0.994431355
52,"3,4-dichloroaniline",95-76-1,Rat cerebellar granule cell,2,96,2.14E-05,8.89E-05,9.56E-05,0.930025578
53,4-decylaniline,37529-30-9,Rat cerebellar granule cell,2,96,1.34E-04,1.14E-07,1.13E-05,0.01014587
54,naphthalene,91-20-3,Rat cerebellar granule cell,2,96,3.84E-05,3.83E-05,5.14E-05,0.746223652
55,"1,2,4-trichlorobenzene",120-82-1,Rat cerebellar granule cell,2,96,1.94E-05,3.85E-06,1.11E-05,0.348332316
56,"1,2-dichlorobenzene",95-50-1,Rat cerebellar granule cell,2,96,8.43E-06,6.20E-06,9.11E-06,0.680785945
57,dichloromethane,75-09-2,Rat cerebellar granule cell,2,96,9.38E-08,1.13E-05,1.13E-05,0.998206451
58,tetrachloroethylene,127-18-4,Rat cerebellar granule cell,2,96,3.05E-06,2.40E-06,3.45E-06,0.696672964
59,"2,3-dimethyl-1,3-butadiene",513-81-5,Rat cerebellar granule cell,2,96,5.08E-08,8.67E-08,1.03E-07,0.838476732
60,cyclosporine A,59865-13-3,Rat cerebellar granule cell,2,96,3.03E-05,7.35E-05,8.33E-05,0.882653472
61,chlorpromazine,50-53-3,Rat cerebellar granule cell,2,96,1.19E-04,8.53E-07,2.00E-05,0.042757652
62,PBDE 47,5436-43-1,Rat cerebellar granule cell,2,96,1.38E-04,3.72E-08,9.48E-06,0.003929009
63,PBDE 99,60348-60-9,Rat cerebellar granule cell,2,96,1.40E-04,1.15E-08,8.55E-06,0.001342522
64,PBDE 153,68631-49-2,Rat cerebellar granule cell,2,96,1.41E-04,2.98E-09,8.02E-06,0.000372014
65,amiodarone,1951-25-3,Rat cerebellar granule cell,2,96,1.40E-04,6.42E-09,8.27E-06,0.000776636
66,PFBS,375-73-5,Rat cerebellar granule cell,2,96,2.03E-06,1.36E-04,1.37E-04,0.996361397
