"","Chemical","CAS","Model","Obs.val","pre.val","amount","conc","Cell.type","Species","IOC","H37","MW","MP","log.KOW","log.KAW","Solubility","pKa","logit.Obs.val","logit.pre.val","diff","abs.diff"
"59","cyclosporine A","59865-13-3","Zaldivar-Comenges et al. (2017)",0.000598246,0.013521641,0.014,7,"PHH","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-3.2231201964901,-1.86897059877919,1.35414959771091,1.35414959771091
"60","cyclosporine A","59865-13-3","Zaldivar-Comenges et al. (2017)",0.001914035,0.013521641,0.014,7,"PHH","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-2.71805012498766,-1.86897059877919,0.849079526208467,0.849079526208467
"61","cyclosporine A","59865-13-3","Zaldivar-Comenges et al. (2017)",7.42e-05,0.000996207,0.001,0.5,"HepaRG","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-4.12959609472097,-3.00165041095668,1.12794568376429,1.12794568376429
"62","cyclosporine A","59865-13-3","Zaldivar-Comenges et al. (2017)",0.001138061,0.009962074,0.01,5,"HepaRG","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-2.9438344591594,-2.00165023657751,0.942184222581895,0.942184222581895
"63","cyclosporine A","59865-13-3","Zaldivar-Comenges et al. (2017)",0.000267949,0.000333262,0.000375,0.25,"PRH","Non-human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-3.57194785942758,-3.47721420368468,0.094733655742897,0.094733655742897
"64","cyclosporine A","59865-13-3","Zaldivar-Comenges et al. (2017)",0.001483226,0.003332618,0.00375,2.5,"PRH","Non-human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-2.82879267022927,-2.47721446431723,0.351578205912043,0.351578205912043
"82","cyclosporine A","59865-13-3","Fisher et al. (2019)",6.32e-05,0.00135649,0.0014,0.7,"PHH","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-4.19928292171762,-2.86758340349533,1.33169951822229,1.33169951822229
"83","cyclosporine A","59865-13-3","Fisher et al. (2019)",2.81e-05,0.00135649,0.0014,0.7,"PHH","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-4.55129368009492,-2.86758340349533,1.68371027659959,1.68371027659959
"84","cyclosporine A","59865-13-3","Fisher et al. (2019)",2.81e-05,0.00135649,0.0014,0.7,"PHH","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-4.55129368009492,-2.86758340349533,1.68371027659959,1.68371027659959
"85","cyclosporine A","59865-13-3","Fisher et al. (2019)",0.004589474,0.0135649,0.014,7,"PHH","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-2.33823708613762,-1.86758340349533,0.470653682642287,0.470653682642287
