"","Chemical","CAS","Model","Obs.val","pre.val","amount","conc","Cell.type","Species","IOC","H37","MW","MP","log.KOW","log.KAW","Solubility","pKa","logit.Obs.val","logit.pre.val","diff","abs.diff"
"78","PBDE 47","5436-43-1","Armitage et al. (2021)",0.000572112,0.00364,0.00367,3.67,"Rat cerebellar granule cell","Non-human","N",37.7,485.79,152,6.81,-3.56,0.04420689,NA,-3.24251894284939,-2.43889861635094,0.803620326498443,0.803620326498443
"79","PBDE 99","60348-60-9","Armitage et al. (2021)",0.000643493,0.00364,0.00367,3.67,"Rat cerebellar granule cell","Non-human","N",53.195625,564.69,177,7.32,-4.01,0.014343126,NA,-3.19145617304539,-2.43889861635094,0.752557556694444,0.752557556694444
"80","PBDE 153","68631-49-2","Armitage et al. (2021)",0.000675033,0.00364,0.00367,3.67,"Rat cerebellar granule cell","Non-human","N",452.92275,643.58,197,7.9,-4.37,0.001950047,NA,-3.1706749955133,-2.43889861635094,0.731776379162352,0.731776379162352
"81","PBDE 47","5436-43-1","Armitage et al. (2021)",0.0016732,0.0106,0.01067,10.67,"Rat cerebellar granule cell","Non-human","N",37.7,485.79,152,6.81,-3.56,0.04420689,NA,-2.77645214409141,-1.97469413473523,0.801758009356177,0.801758009356177
"82","PBDE 99","60348-60-9","Armitage et al. (2021)",0.0014682,0.0106,0.01067,10.67,"Rat cerebellar granule cell","Non-human","N",53.195625,564.69,177,7.32,-4.01,0.014343126,NA,-2.83321478026457,-1.97469413473523,0.858520645529337,0.858520645529337
"83","PBDE 153","68631-49-2","Armitage et al. (2021)",0.0008782,0.0106,0.01067,10.67,"Rat cerebellar granule cell","Non-human","N",452.92275,643.58,197,7.9,-4.37,0.001950047,NA,-3.05640656723163,-1.97469413473523,1.0817124324964,1.0817124324964
"84","PBDE 47","5436-43-1","Armitage et al. (2021)",0.004341062,0.0304,0.03067,30.67,"Rat cerebellar granule cell","Non-human","N",37.7,485.79,152,6.81,-3.56,0.04420689,NA,-2.36240401142792,-1.51712641639125,0.845277595036676,0.845277595036676
"85","PBDE 99","60348-60-9","Armitage et al. (2021)",0.002289084,0.0304,0.03067,30.67,"Rat cerebellar granule cell","Non-human","N",53.195625,564.69,177,7.32,-4.01,0.014343126,NA,-2.6403382702057,-1.51712641639125,1.12321185381445,1.12321185381445
"86","PBDE 153","68631-49-2","Armitage et al. (2021)",0.001286152,0.0304,0.03067,30.67,"Rat cerebellar granule cell","Non-human","N",452.92275,643.58,197,7.9,-4.37,0.001950047,NA,-2.89070770259349,-1.51712641639125,1.37358128620225,1.37358128620225
"87","cyclosporine A","59865-13-3","Zaldivar-Comenges et al. (2017)",3.16e-05,5.75e-05,0.0014,0.7,"PHH","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-4.5003129173816,-4.24033215531037,0.259980762071227,0.259980762071227
