"","Chemical","CAS","Model","Obs.val","pre.val","ref","Cell.type","Data.source","MassBalanceIssue","IOC","conc","H37","MW","MP","log.KOW","log.KAW","Solubility","pKa","logit.Obs.val","logit.pre.val","diff","abs.diff"
"55","Heptachlor","76-44-8","Fischer et al. (2017)",0.00256666666666667,0.005303188,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,29.8,373.32,95.5,6.1,-2.92,0.14223492,NA,-2.59063052954718,-2.27546297670656,0.315167552840619,0.315167552840619
"56","Heptachlor epoxide B","1024-57-3","Fischer et al. (2017)",0.0179,0.008431,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,2.13,389.32,160,4.98,-4.75,0.22308036,NA,-1.74714696902011,-2.0741209106985,-0.326973941678392,0.326973941678392
"57","Lindane","58-89-9","Fischer et al. (2017)",0.2754,0.238934423,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,0.322,290.83,75.2,3.72,-3.77,4.449699,NA,-0.560036064079095,-0.621721277449768,-0.0616852133706726,0.0616852133706726
"58","Methoxychlor-o,p'","72-43-5","Fischer et al. (2017)",0.00303333333333333,0.006093616,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,0.0206,345.65,87,5.08,-6.7,0.08468425,NA,-2.51807986239857,-2.21512491708669,0.302954945311878,0.302954945311878
"59","Parathion","56-38-2","Fischer et al. (2017)",0.0724,0.271000583,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,0.0302,291.26,6.1,3.83,-5.78,12.728062,NA,-1.14026143380285,-0.567029774832566,0.573231658970287,0.573231658970287
"60","Trifluralin","1582-09-8","Fischer et al. (2017)",0.00946666666666667,0.027100432,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,10.4,335.28,49,5.34,-3.39,0.28632912,NA,-2.02380291467262,-1.56702378611007,0.456779128562559,0.456779128562559
"61","2,4-Dinitrophenol","51-28-5","Fischer et al. (2017)",0.0502,1.003901682,"Valdiviezo et al.(1 uM- Mixture)","Cell-free","Our data","0","A",1,0.00871,184.11,116,1.67,-6.32,1441.5813,4.1,-1.29929628285498,0.00169118187704436,1.30098746473202,1.30098746473202
"62","Aldrin","309-00-2","Fischer et al. (2017)",0.00413333333333333,0.002799,"Valdiviezo et al.(1 uM- Mixture)","Cell-free","Our data","0","N",1,4.46,364.91,129,6.5,-1.68,0.026310011,NA,-2.38369956955743,-2.55299710153384,-0.16929753197641,0.16929753197641
"63","Azinphos-methyl","86-50-0","Fischer et al. (2017)",0.441133333333333,0.455,"Valdiviezo et al.(1 uM- Mixture)","Cell-free","Our data","0","N",1,0.0101,317.32,73,2.75,-13.3,23.132628,NA,-0.355430124412086,-0.341988603342888,0.0134415210691982,0.0134415210691982
"64","Chlorpyrifos","2921-88-2","Fischer et al. (2017)",0.000966666666666667,0.069856586,"Valdiviezo et al.(1 uM- Mixture)","Cell-free","Our data","0","N",1,0.297,350.59,42,4.96,-4.17,1.1499352,NA,-3.01472325682071,-1.1557926428265,1.85893061399421,1.85893061399421
"65","DDD-p,p'","50-29-3","Fischer et al. (2017)",0.00173333333333333,0.000182363,"Valdiviezo et al.(1 uM- Mixture)","Cell-free","Our data","0","N",1,0.843,354.49,108,6.91,-3.82,0.006699861,NA,-2.76111791108486,-3.7390632719607,-0.977945360875841,0.977945360875841
"66","DDT-o,p'","789-02-6","Fischer et al. (2017)",0.0031,0.000482435,"Valdiviezo et al.(1 uM- Mixture)","Cell-free","Our data","0","N",1,1.45,354.49,116,6.56,-3.95,0.07656984,NA,-2.50863830616573,-3.31656119225374,-0.807922886088014,0.807922886088014
"67","DDT-p,p'","72-54-8","Fischer et al. (2017)",0.00166666666666667,0.0005083,"Valdiviezo et al.(1 uM- Mixture)","Cell-free","Our data","0","N",1,0.669,320.04,110,6.12,-3.32,0.09025128,NA,-2.77815125038364,-3.2938798902973,-0.515728639913652,0.515728639913652
"68","Diazinon","333-41-5","Fischer et al. (2017)",0.0603333333333333,0.272632608,"Valdiviezo et al.(1 uM- Mixture)","Cell-free","Our data","0","N",1,0.0114,304.35,52.6,3.81,-5.17,47.4786,NA,-1.21944267985048,-0.564422201958622,0.655020477891856,0.655020477891856
"69","Dicofol","115-32-2","Fischer et al. (2017)",0.00786666666666667,0.0145,"Valdiviezo et al.(1 uM- Mixture)","Cell-free","Our data","0","N",1,0.000149,370.49,77.5,5.02,-6.03,0.8632417,NA,-2.10420925174956,-1.83863199776503,0.265577253984531,0.265577253984531
"70","Dieldrin","60-57-1","Fischer et al. (2017)",0.0215333333333333,0.012606874,"Valdiviezo et al.(1 uM- Mixture)","Cell-free","Our data","0","N",1,0.829,380.91,202,5.12,-4.26,0.20835777,NA,-1.66688873672458,-1.89939258772131,-0.232503850996734,0.232503850996734
"71","Disulfoton","298-04-4","Fischer et al. (2017)",0.914333333333333,0.214125215,"Valdiviezo et al.(1 uM- Mixture)","Cell-free","Our data","0","N",1,0.483,274.4,-25,4.02,-5.26,18.05552,NA,-0.038895447115133,-0.66933218795747,-0.630436740842337,0.630436740842337
"72","Endosulfan I","115-29-7","Fischer et al. (2017)",0.0221,0.136912449,"Valdiviezo et al.(1 uM- Mixture)","Cell-free","Our data","0","N",1,2.45,406.93,106,3.83,-4.96,0.40570921,NA,-1.65560772631489,-0.863557061097576,0.792050665217314,0.792050665217314
"73","Endrin","72-20-8","Fischer et al. (2017)",0.0226666666666667,0.102730395,"Valdiviezo et al.(1 uM- Mixture)","Cell-free","Our data","0","N",1,0.829,380.91,144,5.43,-4.26,0.05180376,NA,-1.64461234201343,-0.988301042013468,0.656311299999958,0.656311299999958
"74","Ethion","563-12-2","Fischer et al. (2017)",0.00253333333333333,0.084710254,"Valdiviezo et al.(1 uM- Mixture)","Cell-free","Our data","0","N",1,0.0457,384.48,-13,5.07,-7.25,1.7340048,NA,-2.59630766243887,-1.07206401604382,1.52424364639506,1.52424364639506
"75","Heptachlor","76-44-8","Fischer et al. (2017)",0.00756666666666667,0.005303188,"Valdiviezo et al.(1 uM- Mixture)","Cell-free","Our data","0","N",1,29.8,373.32,95.5,6.1,-2.92,0.14223492,NA,-2.12109539752654,-2.27546297670656,-0.154367579180022,0.154367579180022
"76","Heptachlor epoxide B","1024-57-3","Fischer et al. (2017)",0.0390666666666667,0.008431,"Valdiviezo et al.(1 uM- Mixture)","Cell-free","Our data","0","N",1,2.13,389.32,160,4.98,-4.75,0.22308036,NA,-1.40819364303759,-2.0741209106985,-0.665927267660908,0.665927267660908
"77","Lindane","58-89-9","Fischer et al. (2017)",0.253266666666667,0.238934423,"Valdiviezo et al.(1 uM- Mixture)","Cell-free","Our data","0","N",1,0.322,290.83,75.2,3.72,-3.77,4.449699,NA,-0.596421965500961,-0.621721277449768,-0.0252993119488069,0.0252993119488069
"78","Methoxychlor-o,p'","72-43-5","Fischer et al. (2017)",0.00706666666666667,0.006093616,"Valdiviezo et al.(1 uM- Mixture)","Cell-free","Our data","0","N",1,0.0206,345.65,87,5.08,-6.7,0.08468425,NA,-2.15078539379091,-2.21512491708669,-0.0643395232957795,0.0643395232957795
"79","Parathion","56-38-2","Fischer et al. (2017)",0.0786333333333333,0.271000583,"Valdiviezo et al.(1 uM- Mixture)","Cell-free","Our data","0","N",1,0.0302,291.26,6.1,3.83,-5.78,12.728062,NA,-1.10439331383407,-0.567029774832566,0.537363539001501,0.537363539001501
"80","Trifluralin","1582-09-8","Fischer et al. (2017)",0.0256333333333333,0.027100432,"Valdiviezo et al.(1 uM- Mixture)","Cell-free","Our data","0","N",1,10.4,335.28,49,5.34,-3.39,0.28632912,NA,-1.59119491491823,-1.56702378611007,0.0241711288081654,0.0241711288081654
"81","Caffeine","58-08-2","Fischer et al. (2017)",0.999999,0.999569071,"Huchthausen et al. (ARE)","Human","Literature","0","N",3680,0.157,194.19,238,-0.07,-9.95,21749.28,NA,-4.34294699063126e-07,-0.000187190422580272,-0.000186756127881209,0.000186756127881209
"82","Lamotrigine","84057-84-1","Fischer et al. (2017)",0.579374276,0.639846946,"Huchthausen et al. (ARE)","Human","Literature","0","B",863,0.000113,256.09,207,2.57,-9.7,249.94384,6.6,-0.237040791215896,-0.193923898605187,0.0431168926107087,0.0431168926107087
"83","Diclofenac","15307-79-6","Fischer et al. (2017)",0.348993289,0.016205881,"Huchthausen et al. (ARE)","Human","Literature","0","B",89.4,1.6e-05,296.15,284,0.7,-9.05,7.018755,17.6,-0.457182924268014,-1.79032735444736,-1.33314443017935,1.33314443017935
"84","2,4-Dichlorophenoxyacetic","94-75-7","Fischer et al. (2017)",0.417721519,1.0023181,"Huchthausen et al. (ARE)","Human","Literature","0","A",316,0.000299,221.04,140,2.81,-7.08,1644.5376,2.7,-0.379113151399393,0.00100557297891216,0.380118724378306,0.380118724378306
